,Dependent-Company Status,year of founding,Employee Count,Number of of repeat investors,Subscription based business,Experience in selling and building products,Client Reputation,Number of Direct competitors,Percent_skill_Marketing,Percent_skill_Product Management,Percent_skill_Finance
2,1,2011.0,14.0,0.0,1,3,0,0.0,0.0,9.401709402,0.0
3,1,2009.0,45.0,0.0,1,0,0,2.0,0.0,0.0,0.0
4,1,2010.0,39.0,0.0,0,3,0,0.0,0.0,0.0,0.0
5,1,2010.0,14.0,2.0,0,0,3,0.0,15.625,3.125,0.0
6,1,2011.0,7.0,4.0,1,0,0,0.0,5.555555556,0.0,0.0
7,1,2010.0,29.0,0.0,0,2,0,0.0,0.0,0.0,0.0
8,1,2011.0,16.0,0.0,0,3,0,0.0,5.718954248,2.777777778,0.0
9,1,2013.0,3.0,0.0,0,3,0,0.0,19.79166667,0.0,0.0
10,1,2011.0,34.0,0.0,0,3,3,4.0,0.0,0.0,0.0
11,1,2010.0,31.0,1.0,0,3,0,0.0,0.0,9.090909091,0.0
12,1,2010.0,47.0,1.0,0,3,0,0.0,0.0,0.0,0.0
13,1,2008.0,22.0,0.0,1,2,0,0.0,16.66666667,4.166666667,0.0
14,1,2010.0,13.0,0.0,0,2,0,0.0,60.0,0.0,0.0
15,1,2008.0,129.0,0.0,0,3,3,0.0,0.0,0.0,5.555555556
16,1,2010.0,23.0,2.0,0,3,0,0.0,0.0,0.0,0.0
17,1,2009.0,52.0,2.0,0,3,3,0.0,0.0,0.0,0.0
18,1,2002.0,46.0,0.0,0,2,3,0.0,0.0,0.0,0.0
20,1,2010.0,27.0,0.0,0,3,2,0.0,11.11111111,5.555555556,0.0
22,1,2012.0,32.0,2.0,0,0,3,0.0,1.960784314,4.044117647,0.0
24,1,2012.0,3.0,0.0,1,0,3,5.0,11.11111111,2.777777778,0.0
26,1,2009.0,5.0,0.0,0,0,3,0.0,0.0,0.0,0.0
30,1,2012.0,7.0,0.0,1,0,3,0.0,0.0,0.0,0.0
31,1,2008.0,39.0,3.0,1,3,3,0.0,0.0,0.0,0.0
32,1,2010.0,115.0,3.0,1,2,3,0.0,50.0,0.0,0.0
35,1,2012.0,14.0,0.0,1,3,3,0.0,11.11111111,0.0,11.11111111
39,1,2010.0,7.0,0.0,1,2,0,3.0,39.37791783,1.111111111,4.444444444
40,1,2012.0,6.0,0.0,1,3,0,5.0,61.11111111,2.777777778,0.0
43,1,2008.0,12.0,1.0,1,2,0,0.0,6.25,6.25,0.0
46,1,2011.0,35.0,0.0,1,2,3,0.0,0.0,2.941176471,0.0
47,1,2003.0,267.0,0.0,0,2,2,0.0,0.0,0.0,0.0
48,1,2000.0,594.0,0.0,1,3,3,0.0,5.555555556,0.0,0.0
50,1,2011.0,23.0,2.0,1,2,3,0.0,29.41176471,5.882352941,0.0
51,1,2009.0,50.0,3.0,0,2,3,0.0,22.22222222,11.11111111,0.0
54,1,2012.0,38.0,2.0,1,0,3,0.0,0.0,0.0,0.0
57,1,2012.0,24.0,0.0,0,2,2,0.0,44.44444444,5.555555556,0.0
60,1,2009.0,22.0,2.0,1,2,0,0.0,0.0,0.0,0.0
62,1,2012.0,17.0,0.0,0,2,2,0.0,52.94117647,0.0,5.882352941
66,1,2009.0,43.0,0.0,1,2,3,0.0,18.40277778,8.680555556,0.0
70,1,2009.0,6.0,0.0,1,2,0,2.0,0.0,0.0,0.0
74,1,2013.0,9.0,0.0,0,2,0,4.0,0.0,11.11111111,0.0
77,1,2012.0,11.0,0.0,0,0,0,4.0,7.142857143,7.142857143,7.142857143
80,1,2010.0,18.0,0.0,1,2,0,33.0,0.0,0.0,0.0
86,1,2010.0,6.0,0.0,1,3,0,2.0,0.0,6.623931624,0.0
87,1,2009.0,20.0,0.0,1,2,0,0.0,31.57894737,5.263157895,0.0
90,1,2010.0,6.0,0.0,0,2,0,6.0,14.28571429,0.0,0.0
92,1,2010.0,25.0,0.0,0,2,0,0.0,0.0,15.38461538,0.0
94,1,2002.0,31.0,0.0,0,3,0,0.0,0.0,0.0,0.0
104,1,2009.0,13.0,0.0,1,0,0,15.0,7.692307692,0.0,0.0
106,1,2008.0,12.0,1.0,0,3,0,0.0,12.58169935,9.444444444,0.0
