,Company_Name,Dependent-Company Status,year of founding,Age of company in years,Internet Activity Score,Short Description of company profile,Industry of company,Focus functions of company,Investors,Employee Count,Employees count MoM change,Has the team size grown,Est. Founding Date,Last Funding Date,Last Funding Amount,Country of company,Continent of company,Number of Investors in Seed,Number of Investors in Angel and or VC,Number of Co-founders,Number of of advisors,Team size Senior leadership,Team size all employees,Presence of a top angel or venture fund in previous round of investment,Number of of repeat investors,Number of  Sales Support material,Worked in top companies,Average size of companies worked for in the past,Have been part of startups in the past?,Have been part of successful startups in the past?,Was he or she partner in Big 5 consulting?,Consulting experience?,Product or service company?,Catering to product/service across verticals,Focus on private or public data?,Focus on consumer data?,Focus on structured or unstructured data,Subscription based business,Cloud or platform based serive/product?,Local or global player,Linear or Non-linear business model,Capital intensive business,Number of  of Partners of company,Crowdsourcing based business,Crowdfunding based business,Machine Learning based business,Predictive Analytics business,Speech analytics business,Prescriptive analytics business,Big Data Business,Cross-Channel Analytics/ marketing channels,Owns data or not? (monetization of data) e.g. Factual,Is the company an aggregator/market place? e.g. Bluekai,Online or offline venture - physical location based business or online venture?,B2C or B2B venture?,Top forums talking about company/Model,Average Years of experience for founder and co founder,Exposure across the globe,Breadth of experience across verticals,Highest education,Years of education,Specialization of highest education,Relevance of education to venture,Relevance of experience to venture,Degree from a Tier 1 or Tier 2 university?,Renowned in professional circle,Experience in selling and building products,Experience in Fortune 100 organizations,Experience in Fortune 500 organizations,Experience in Fortune 1000 organizations,Top management similarity,Number of Recognitions for Founders and Co-founders,Number of  of Research publications,Skills score,Team Composition score,Dificulty of Obtaining Work force,Pricing Strategy,Hyper localisation,Time to market service or product,Employee benefits and salary structures,Long term relationship with other founders,Proprietary or patent position (competitive position),Barriers of entry for the competitors,Company awards,Controversial history of founder or co founder,Legal risk and intellectual property,Client Reputation,google page rank of company website,Technical proficiencies to analyse and interpret unstructured data,Solutions offered,Invested through global incubation competitions?,Industry trend in investing,Disruptiveness of technology,Number of Direct competitors,Employees per year of company existence,Last round of funding received (in milionUSD),Survival through recession,Time to 1st investment (in months),"Avg time to investment - average across all rounds, measured from previous investment",Gartner hype cycle stage,Time to maturity of technology (in years),Percent_skill_Entrepreneurship,Percent_skill_Operations,Percent_skill_Engineering,Percent_skill_Marketing,Percent_skill_Leadership,Percent_skill_Data Science,Percent_skill_Business Strategy,Percent_skill_Product Management,Percent_skill_Sales,Percent_skill_Domain,Percent_skill_Law,Percent_skill_Consulting,Percent_skill_Finance,Percent_skill_Investment,Renown score
2,Company3,1,2011.0,3.0,455.0,Event Data Analytics API,Analytics|Cloud Computing|Software Development,operations,TechStars|Streamlined Ventures|Amplify Partners|Rincon Venture Partners|Pelion Venture Partners|500 Startups|Loren Siebert|Jason Seats|XG Ventures|George Karidis|Sam Choi|Morris Wheeler|Data Collective|Pejman Nozad|Ullas Naik|Dirk Elmendorf|Galvanize|Pat Matthews|Paul Kedrosky|Matt Ocko|Cloud Power Capital|Jared Kopf|Anne Johnson|Issac Roth|George Karutz|Jim Deters|Zachary Aarons|Zack Bogue,14.0,0.0,No,2011-12-01,2013-10-23,2350000.0,United States,North America,15.0,0.0,3,0,7,10.0,No,0.0,low,Yes,Medium,No,No,No,No,Both,Yes,Private,Yes,Both,1,Cloud,Local,Non-Linear,No,Few,No,No,No,Yes,No,No,Yes,No,No,No,Online,B2B,Low,Medium,Yes,Low,Bachelors,18.0,General,Yes,Yes,Tier_2,500.0,3,0.0,0.0,1.0,Medium,18.0,,36.0,High,Medium,Yes,No,Low,,Yes,Yes,Yes,No,No,No,0,71391.0,Yes,Yes,Yes,3.0,Medium,0.0,3.333333333,2.35,Not Applicable,2.0,7.344444444,Trough,2 to 5,9.401709402,0.0,57.47863248,0.0,0.0,3.846153846,17.09401709,9.401709402,0.0,2.777777778,0.0,0.0,0.0,0.0,9.0
3,Company4,1,2009.0,5.0,-99.0,The most advanced analytics for mobile,Mobile|Analytics,Marketing & Sales,Michael Birch|Max Levchin|Sequoia Capital|Keith Rabois|Andreessen Horowitz|Marc Benioff|David Sacks|Y Combinator|Voyager Capital,45.0,10.0,No,2009-06-20,2012-05-10,10250000.0,United States,North America,6.0,0.0,2,0,4,50.0,Yes,0.0,low,No,Large,Yes,Yes,No,No,Product,Yes,Public,Yes,Structured,1,Platform,Local,Non-Linear,No,Few,Yes,No,No,No,No,No,No,No,No,No,Online,B2C,Medium,Medium,Yes,Low,Bachelors,18.0,Computer Systems Engineering,Yes,Yes,Tier_2,,0,0.0,0.0,0.0,Medium,2.0,,15.5,Medium,Medium,Yes,No,Low,Good,No,Yes,Yes,No,No,No,0,11847.0,No,Yes,Yes,4.0,Medium,2.0,10.0,10.25,Not Applicable,1.0,8.7,Trough,2 to 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
4,Company5,1,2010.0,4.0,496.0,The Location-Based Marketing Platform,Analytics|Marketing|Enterprise Software,Marketing & Sales,DFJ Frontier|Draper Nexus Ventures|Gil Elbaz|Auren Hoffman|Walter Kortschak|MI Ventures|Brand Ventures|Daher Capital|Double M Partners|Gold Hill Capital|Clark Landry|Draper Associates|MI Ventures LLC|Signia Venture Partners,39.0,3.0,No,2010-04-01,2013-12-11,5500000.0,United States,North America,7.0,0.0,1,1,8,40.0,No,0.0,high,No,Small,No,No,No,No,Product,Yes,Public,Yes,Both,0,Platform,Local,Non-Linear,Yes,Few,No,No,No,No,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,Medium,Bachelors,18.0, Industrial Engineering and Computer Science,Yes,Yes,,500.0,3,0.0,0.0,0.0,Low,5.0,Few,23.0,Medium,Medium,Yes,No,Low,Bad,Yes,Yes,Yes,No,No,No,0,201814.0,Yes,Yes,No,3.0,Medium,0.0,10.0,5.5,Not Applicable,13.0,9.822222222,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
5,Company6,1,2010.0,4.0,106.0,big data for foodservice,Food & Beverages|Hospitality,analytics,Pritzker Group Venture Capital|Excelerate Labs|Hyde Park Venture Partners|Chicago Ventures|Amicus Capital|IDEO|Olive Ventures|KD Capital L.L.C,14.0,8.0,No,2010-05-01,2013-09-17,1000000.0,United States,North America,2.0,0.0,4,0,4,14.0,No,2.0,medium,No,Medium,No,No,No,No,Service,No,Public,Yes,Both,0,Platform,Local,Non-Linear,No,Few,No,No,No,No,No,No,Yes,No,Yes,No,Online,B2B,Low,High,Yes,Medium,Masters,21.0,Political Science,No,No,,500.0,0,0.0,0.0,0.0,Low,5.0,,25.0,Medium,Medium,Yes,No,Low,Good,No,Yes,No,Yes,No,No,3,591816.0,Yes,Yes,Yes,4.0,High,0.0,3.5,1.0,Not Applicable,12.0,9.322222222,Trigger,2 to 5,6.25,0.0,3.125,15.625,9.375,3.125,6.25,3.125,3.125,0.0,0.0,0.0,0.0,0.0,6.0
6,Company7,1,2011.0,3.0,39.0,,Analytics,Research,Plug & Play Ventures|Correlation Ventures|Crosslink Capital|Roham Gharegozlou|Start Capital|Naguib Sawiris|Pejman Nozad|Streamlined Ventures,7.0,0.0,No,2011-01-01,2013-09-03,2000000.0,United States,North America,7.0,0.0,2,9,2,15.0,No,4.0,medium,No,Small,Yes,Yes,No,No,Both,Yes,Public,Yes,Unstructured,1,Platform,Local,Non-Linear,No,Few,No,No,No,Yes,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,Medium,PhD,25.0,Electrical Eng,Yes,Yes,,,0,0.0,0.0,0.0,Low,1.0,,21.0,Medium,Medium,Yes,No,Medium,,No,No,Yes,No,No,Yes,0,2345574.0,Yes,Yes,No,3.0,Medium,0.0,5.0,2.0,Not Applicable,11.0,7.311111111,Trigger,2 to 5,0.0,0.0,66.66666667,5.555555556,0.0,22.22222222,0.0,0.0,0.0,5.555555556,0.0,0.0,0.0,0.0,0.0
7,Company8,1,2010.0,4.0,139.0,,Cloud Computing|Network / Hosting / Infrastructure,Computing,Norwest Venture Partners|Bessemer Venture Partners|Atlas Venture,29.0,-12.0,No,2010-01-01,2012-11-08,6700000.0,United States,North America,0.0,0.0,3,4,4,40.0,No,0.0,medium,No,Large,Yes,Yes,No,No,Both,Yes,Private,No,Both,0,Platform,Local,Non-Linear,No,Few,No,No,No,Yes,No,Yes,Yes,No,No,No,Online,B2B,Medium,High,Yes,Medium,Masters,21.0,Business management,Yes,Yes,Tier_1,500.0,2,0.0,0.0,0.0,High,5.0,Few,4.5,Medium,Medium,Yes,No,Low,Bad,No,No,Yes,No,No,No,0,1015027.0,Yes,Yes,No,3.0,Medium,0.0,10.0,6.7,Not Applicable,20.0,6.4,Slope,2 to 5,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
8,Company9,1,2011.0,3.0,306.0,Engagement Engine,Analytics|Mobile|Marketing,Marketing,Promus Ventures|SoftTech VC|Costanoa Venture Capital|Lee Linden|Chamath Palihapitiya|Raj De Datta|Tim Kendall|Omar Siddiqui|David Vivero|Sequoia Capital,16.0,45.0,No,2011-01-01,2014-02-26,11000000.0,United States,North America,13.0,0.0,2,0,2,50.0,No,0.0,medium,Yes,Medium,Yes,Yes,No,No,Product,Yes,Public,Yes,Both,0,Platform,Local,Non-Linear,No,Few,Yes,No,No,No,No,No,Yes,No,Yes,No,Online,B2B,Medium,High,Yes,High,Masters,21.0,Business management,Yes,Yes,Tier_1,500.0,3,0.0,0.0,0.0,Medium,13.0,,48.0,Low,Medium,No,No,Low,,No,Yes,No,No,No,No,0,256921.0,Yes,Yes,No,3.0,Medium,0.0,16.66666667,11.0,Not Applicable,18.0,12.0,Trough,2 to 5,8.333333333,0.0,46.73202614,5.718954248,8.333333333,0.0,19.77124183,2.777777778,2.777777778,0.0,0.0,0.0,0.0,5.555555556,5.0
9,Company10,1,2013.0,1.0,53.0,Big data for clinical insight,Healthcare|Pharmaceuticals|Analytics,Research,Khosla Ventures,3.0,,No,2013-05-16,2013-10-24,3000000.0,United States,North America,0.0,0.0,3,4,3,3.0,No,0.0,Nothing,Yes,Medium,Yes,Yes,No,No,Product,No,Public,Yes,Structured,0,Platform,Global,Non-Linear,No,,No,No,No,Yes,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,High,PhD,25.0,Biomedical Informatics ,Yes,Yes,Tier_1,500.0,3,0.0,0.0,0.0,Medium,1.0,,25.5,Medium,High,Yes,No,Medium,,Yes,No,Yes,No,No,Yes,0,3639779.0,No,Yes,No,1.0,Low,0.0,3.0,3.0,Not Applicable,5.0,5.0,Peak,5 to 10,8.333333333,0.0,27.08333333,19.79166667,0.0,23.95833333,0.0,0.0,0.0,20.83333333,0.0,0.0,0.0,0.0,4.0
10,Company11,1,2011.0,3.0,762.0,Business Analytics,Analytics|Enterprise Software,"Sales, marketing",Redpoint Ventures|First Round Capital|PivotNorth Capital,34.0,0.0,No,2011-01-01,2013-08-13,16000000.0,United States,North America,0.0,0.0,2,1,8,50.0,No,0.0,medium,No,Small,Yes,Yes,No,No,Both,No,Public,Yes,Both,0,Platform,Global,Non-Linear,No,Many,No,No,No,No,No,No,Yes,No,No,No,Online,B2B,Medium,High,Yes,High,Bachelors,18.0,Geology,No,Yes,,500.0,3,0.0,0.0,1.0,,4.0,,14.5,High,Medium,Yes,No,Low,,No,Yes,Yes,No,No,No,3,142907.0,Yes,Yes,No,4.0,Medium,4.0,25.0,16.0,Not Applicable,24.0,2.666666667,Trough,2 to 5,3.846153846,0.0,26.92307692,0.0,3.846153846,3.846153846,7.692307692,0.0,3.846153846,0.0,0.0,0.0,0.0,0.0,6.0
11,Company12,1,2010.0,4.0,140.0,,,operations,.406 Ventures|fidelity growth partners global|Fidelity Growth Partners Europe,31.0,3.0,No,2010-01-01,2012-06-27,6300000.0,United States,North America,0.0,1.0,0,1,7,50.0,No,1.0,medium,No,,Yes,Yes,No,No,Product,Yes,Private,No,Structured,0,Platform,Global,Non-Linear,No,Few,No,No,No,No,No,No,No,No,No,No,Online,B2B,,High,Yes,High,Masters,21.0, Visual Studies,Yes,Yes,Tier_1,500.0,3,0.0,0.0,0.0,Low,0.0,Few,12.0,High,Medium,Yes,No,Low,,No,Yes,Yes,No,No,Yes,0,1560315.0,No,No,No,3.0,Medium,0.0,16.6,6.3,Not Applicable,18.0,3.85,Plateau,0 to 2,27.27272727,0.0,18.18181818,0.0,9.090909091,0.0,36.36363636,9.090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
